ArrayIndex,Index,Xvalues,Power
0,0,0,
1,1,0.081,
2,2,0.162,
3,3,0.243,
4,4,0.324,
5,5,0.405,
6,6,0.486,
7,7,0.567,
8,8,0.648,
9,9,0.729,
10,10,0.81,
11,11,0.891,
12,12,0.972,
13,13,1.053,
14,14,1.134,
15,15,1.215,
16,16,1.296,
17,17,1.377,
18,18,1.458,
19,19,1.539,
20,20,1.62,
21,21,1.701,
22,22,1.782,
23,23,1.863,
24,24,1.944,
25,25,2.025,
26,26,2.106,
27,27,2.187,
28,28,2.268,
29,29,2.349,
30,30,2.43,
31,31,2.511,
32,32,2.592,
33,33,2.673,
34,34,2.754,
35,35,2.835,
36,36,2.916,
37,37,2.997,
38,38,3.078,
39,39,3.159,
40,40,3.24,
41,41,3.321,
42,42,3.402,
43,43,3.483,
44,44,3.564,
45,45,3.645,
46,46,3.726,
47,47,3.807,
48,48,3.888,
49,49,3.969,
50,50,4.05,
51,51,4.131,
52,52,4.212,
53,53,4.293,
54,54,4.374,
55,55,4.455,
56,56,4.536,
57,57,4.617,
58,58,4.698,
59,59,4.779,
60,60,4.86,
61,61,4.941,
62,62,5.022,
63,63,5.103,
64,64,5.184,
65,65,5.265,
66,66,5.346,
67,67,5.427,
68,68,5.508,
69,69,5.589,
70,70,5.67,
71,71,5.751,
72,72,5.832,
73,73,5.913,
74,74,5.994,
75,75,6.075,
76,76,6.156,
77,77,6.237,
78,78,6.318,
79,79,6.399,
80,80,6.48,
81,81,6.561,
82,82,6.642,
83,83,6.723,
84,84,6.804,
85,85,6.885,
86,86,6.966,
87,87,7.047,
88,88,7.128,
89,89,7.209,
90,90,7.29,
91,91,7.371,
92,92,7.452,
93,93,7.533,
94,94,7.614,
95,95,7.695,
96,96,7.776,
97,97,7.857,
98,98,7.938,
99,99,8.019,

